Date,Entry,Option Strike,Option Initial Price,Option Type,Bought Delta,lot_size,Expiry Month,Target Delta,Options PNL,Option Close Date,Option Final Price,Option SL
2019-01-28,RELIANCE-I1248.15CE,1248.15,5.250231324995775,call,0.3124614147557389,568.8744412840309,2019-01-31,0.35,2928.3967947127458,2019-01-31,0.0495304841980733,Expiry
2019-02-25,RELIANCE-I1248.15CE,1248.15,3.813847283251648,call,0.3209696516431494,568.5048322910745,2019-02-28,0.35,2118.0688012388164,2019-02-28,0.0495304841980733,Expiry
2019-03-25,RELIANCE-I1347.25CE,1347.25,4.210091156836235,call,0.31936502759376606,526.7514485664835,2019-03-28,0.35,-4524.050095539276,2019-03-26,12.630273470508705,Intraday SL Hit
2019-04-22,RELIANCE-I1367.05CE,1367.05,5.101639872401555,call,0.27743608284891597,520.8333333333334,2019-04-25,0.35,-5420.492364426652,2019-04-24,15.304919617204664,Intraday SL Hit
2019-05-27,RELIANCE-I1327.4CE,1327.4,6.339901977353389,call,0.3623096185310244,532.9272934906737,2019-05-30,0.35,3318.2596254113896,2019-05-30,0.0495304841980733,Expiry
2019-06-24,RELIANCE-I1268CE,1268.0,6.290371493155315,call,0.442746545532034,554.7410548004914,2019-06-27,0.35,-7118.63572708784,2019-06-25,18.871114479465945,Intraday SL Hit
2019-07-22,RELIANCE-I1287.8CE,1287.8,6.339901977353389,call,0.4039109923561415,547.6879743369063,2019-07-25,0.35,3410.1666676925597,2019-07-25,0.0495304841980733,Expiry
2019-08-26,RELIANCE-I1287.8CE,1287.8,4.953048419807335,call,0.2669599137868176,553.3596837944664,2019-08-29,0.35,2685.726879524462,2019-08-29,0.0495304841980733,Expiry
2019-09-23,RELIANCE-I1248.15CE,1248.15,13.42276121767788,call,0.3907572325521026,565.6108597285069,2019-09-26,0.35,-15487.801405012942,2019-09-24,40.26828365303364,Intraday SL Hit
2019-10-29,RELIANCE-I1485.9CE,1485.9,3.1699509886766943,call,0.3352526234759161,475.8667573079538,2019-10-31,0.35,1469.5839448163913,2019-10-31,0.0495304841980733,Expiry
2019-11-25,RELIANCE-I1585CE,1585.0,3.6157253464593535,call,0.3051120426204228,448.22949350067233,2019-11-28,0.35,1582.0449591908139,2019-11-28,0.0495304841980733,Expiry
2019-12-23,RELIANCE-I1585CE,1585.0,3.912908251647795,call,0.37643327632646406,445.859872611465,2019-12-26,0.35,1704.858194945149,2019-12-26,0.0495304841980733,Expiry
2020-01-27,RELIANCE-I1525.55CE,1525.55,3.5166643780632074,call,0.3330069394860208,464.19098143236073,2020-01-30,0.35,1592.8583300197379,2020-01-30,0.0495304841980733,Expiry
2020-02-24,RELIANCE-I1466.1CE,1466.1,5.3492922933919225,call,0.30175676626638426,484.09405255878283,2020-02-27,0.35,2539.447791834415,2020-02-27,0.0495304841980733,Expiry
2020-03-23,RELIANCE-I911.35CE,911.35,30.907022139597768,call,0.2629811336599206,786.5168539325842,2020-03-26,0.35,-49590.14338802878,2020-03-25,92.7210664187933,Intraday SL Hit
2020-04-27,RELIANCE-I1446.3CE,1446.3,21.0009252999831,call,0.4014592244491559,489.57896209260036,2020-04-30,0.35,10154.303525360365,2020-04-30,0.0495304841980733,Expiry
2020-05-26,RELIANCE-I1446.3CE,1446.3,8.7,call,0.35458296618792234,490.4708520179372,2020-05-28,0.35,-8704.876681614349,2020-05-28,26.099999999999998,Intraday SL Hit
2020-06-22,RELIANCE-I1780CE,1780.0,20.35,call,0.36531799737886217,399.4293865905849,2020-06-25,0.35,8026.932952924396,2020-06-25,0.05,Expiry
2020-07-27,RELIANCE-I2200CE,2200.0,34.55,call,0.32291083759210926,324.833522819555,2020-07-30,0.35,11094.36413837908,2020-07-30,0.05,Expiry
2020-08-24,RELIANCE-I2140CE,2140.0,12.8,call,0.3359528490354783,333.34127003023883,2020-08-27,0.35,4207.26683968666,2020-08-27,0.05,Expiry
2020-09-21,RELIANCE-I2280CE,2280.0,20.0,call,0.3879655555793639,311.11802484499657,2020-09-24,0.35,6144.42543167626,2020-09-24,0.05,Expiry
2020-10-26,RELIANCE-I2080CE,2080.0,12.8,call,0.3084191739606986,344.04797011697633,2020-10-29,0.35,4342.401454831417,2020-10-29,0.05,Expiry
