Date,Entry,Strike,Initial Price,Option Type,Bought Delta,Lot,Target Delta,Exit Price,Exit Delta,PNL
2019-01-01,RELIANCE-I851.9PE,851.9,0.0990609683961467,put,-0.0004978943212466983,624.9720994598456,0.25,0.0990609683961467,-0.0007612451653295816,0.0
2019-01-02,RELIANCE-I1188.75CE,1188.75,8.965017639851277,call,0.22070378794904555,634.2303162091148,0.25,4.061499704242015,0.2378288010113968,3109.959730838528
2019-01-15,RELIANCE-I891.55PE,891.55,0.3467133893865134,put,-5.5079694842533716e-05,618.9486714708872,0.25,0.3467133893865134,-1.0632017864340183e-77,0.0
2019-01-30,RELIANCE-I1208.55CE,1208.55,8.965017639851277,call,0.2262406885054255,586.2646566164154,0.25,6.983798271928342,1.0,1161.5188924171312
2019-02-01,RELIANCE-I1327.4CE,1327.4,8.56877376626669,call,0.2764607903225509,558.2359743211451,0.25,5.497883745986141,0.3865406015798721,1714.281282504393
2019-02-04,RELIANCE-I891.55PE,891.55,0.6934267787730268,put,-5.156338111574882e-07,543.267365153279,0.25,0.6934267787730268,-2.129480657454235e-08,0.0
2019-02-13,RELIANCE-I1287.8CE,1287.8,16.790834143146864,call,0.285429938241736,565.2911249293386,0.25,0.0495304841980733,0.0,9463.710378150814
2019-03-01,RELIANCE-I1307.6CE,1307.6,11.39201136555687,call,0.24338147029665191,571.4285714285714,0.25,7.776286019097515,0.3490731155848781,2066.128769405346
2019-03-06,RELIANCE-I891.55PE,891.55,0.2971829051884401,put,-7.467162949906184e-07,554.6751188589541,0.25,0.2971829051884401,-2.766333365999818e-49,0.0
2019-03-25,RELIANCE-I1347.25CE,1347.25,9.064078608247424,call,0.31936502759376606,526.7514485664835,0.25,0.0495304841980733,1.0,4748.426282515273
2019-03-29,RELIANCE-I1446.3CE,1446.3,16.790834143146864,call,0.26686780890596856,513.5541616228312,0.25,14.859145259422004,0.3447201211342629,992.026865197463
2019-04-01,RELIANCE-I990.6PE,990.6,0.5448353261788069,put,-3.0919083637628298e-06,502.89162685441283,0.25,0.6934267787730268,-2.012596770511768e-06,-74.72539733176761
2019-04-08,RELIANCE-I1386.85CE,1386.85,22.78402273111374,call,0.2786015092918679,527.1084337349398,0.25,15.750693974987325,0.5152872663818232,3707.3269045847073
2019-04-18,RELIANCE-I851.9PE,851.9,1.832627915328714,put,-2.8479958316445793e-32,505.050505050505,0.25,0.0495304841980733,-0.0,900.5542581467881
2019-04-26,RELIANCE-I990.6PE,990.6,0.3962438735845868,put,-6.509788098775274e-05,503.1627372052904,0.25,0.7924877471691736,-1.831526145927095e-05,-199.37515203364777
2019-05-07,RELIANCE-I1426.5CE,1426.5,33.68072925468988,call,0.23742206900896035,521.6095380029806,0.25,8.42018231367247,0.08548221071132611,13176.142219606694
2019-05-20,RELIANCE-I891.55PE,891.55,0.8915487155653203,put,-2.832879107496521e-16,526.8902186594407,0.25,0.0495304841980733,-0.0,443.65117004032436
2019-05-31,RELIANCE-I990.6PE,990.6,0.990609683961467,put,-0.00010118512927253365,526.2762198330953,0.25,0.2476524209903667,-2.2491235187466496e-05,391.0007398539736
2019-06-07,RELIANCE-I1386.85CE,1386.85,10.401401681595404,call,0.23848185083571805,533.9435545385202,0.25,0.0495304841980733,0.0,5527.314903263258
