Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ZEEL.EQ-NSE,2019-01-01,477.65,481.2,470.85,479.55,2201920.0
ZEEL.EQ-NSE,2019-01-02,474.5,480.0,462.25,472.5,2685794.0
ZEEL.EQ-NSE,2019-01-03,472.45,472.9,457.65,460.6,3484573.0
ZEEL.EQ-NSE,2019-01-04,462.5,468.7,455.6,460.9,2550157.0
ZEEL.EQ-NSE,2019-01-07,467.05,469.0,457.5,462.5,3012195.0
ZEEL.EQ-NSE,2019-01-08,462.0,463.8,448.75,449.2,4223550.0
ZEEL.EQ-NSE,2019-01-09,453.95,461.65,445.8,451.5,6324512.0
ZEEL.EQ-NSE,2019-01-10,452.6,455.5,448.8,450.55,3410595.0
ZEEL.EQ-NSE,2019-01-11,452.9,455.25,449.25,449.75,2586999.0
ZEEL.EQ-NSE,2019-01-14,450.6,451.75,442.3,450.65,2339607.0
ZEEL.EQ-NSE,2019-01-15,453.2,463.2,450.0,456.6,6756023.0
ZEEL.EQ-NSE,2019-01-16,465.45,475.75,450.2,451.8,19420785.0
ZEEL.EQ-NSE,2019-01-17,453.4,457.05,434.2,440.7,8599229.0
ZEEL.EQ-NSE,2019-01-18,441.45,445.0,436.2,440.5,4537639.0
ZEEL.EQ-NSE,2019-01-21,441.45,443.5,434.05,436.25,4314547.0
ZEEL.EQ-NSE,2019-01-22,435.75,437.35,420.0,424.5,6194110.0
ZEEL.EQ-NSE,2019-01-23,424.6,439.8,423.8,430.4,12977620.0
ZEEL.EQ-NSE,2019-01-24,433.9,439.0,424.35,433.75,6941969.0
ZEEL.EQ-NSE,2019-01-25,439.35,439.35,288.3,300.0,73927471.0
ZEEL.EQ-NSE,2019-01-28,352.45,382.0,320.0,368.4,120602464.0
ZEEL.EQ-NSE,2019-01-29,368.0,388.5,362.75,379.0,37369755.0
ZEEL.EQ-NSE,2019-01-30,380.0,391.65,374.1,387.05,15793832.0
ZEEL.EQ-NSE,2019-01-31,390.15,390.9,362.3,378.25,21416624.0
ZEEL.EQ-NSE,2019-02-01,382.0,399.85,348.6,352.6,24527108.0
ZEEL.EQ-NSE,2019-02-04,343.65,361.95,329.1,346.75,25049260.0
ZEEL.EQ-NSE,2019-02-05,343.85,369.9,341.05,364.65,12123016.0
ZEEL.EQ-NSE,2019-02-06,368.65,398.0,368.65,388.25,25093649.0
