Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
OPTOCIRCUI.EQ-NSE,2019-01-01,9.2,9.7,9.05,9.55,475940.0
OPTOCIRCUI.EQ-NSE,2019-01-02,9.45,9.6,9.2,9.25,169379.0
OPTOCIRCUI.EQ-NSE,2019-01-03,9.3,9.5,9.15,9.45,178843.0
OPTOCIRCUI.EQ-NSE,2019-01-04,9.45,9.45,9.1,9.2,235443.0
OPTOCIRCUI.EQ-NSE,2019-01-07,9.5,9.5,9.15,9.15,201192.0
OPTOCIRCUI.EQ-NSE,2019-01-08,9.2,9.3,9.15,9.15,76709.0
OPTOCIRCUI.EQ-NSE,2019-01-09,9.2,9.35,9.05,9.1,200406.0
OPTOCIRCUI.EQ-NSE,2019-01-10,9.1,9.35,9.1,9.15,255892.0
OPTOCIRCUI.EQ-NSE,2019-01-11,9.2,9.25,8.7,9.2,249051.0
OPTOCIRCUI.EQ-NSE,2019-01-14,9.1,9.2,9.0,9.0,91309.0
OPTOCIRCUI.EQ-NSE,2019-01-15,9.1,9.15,8.95,9.0,142777.0
OPTOCIRCUI.EQ-NSE,2019-01-16,9.0,9.1,8.9,8.9,151018.0
OPTOCIRCUI.EQ-NSE,2019-01-17,8.95,9.05,8.75,8.9,216375.0
OPTOCIRCUI.EQ-NSE,2019-01-18,8.8,9.2,8.8,8.9,213225.0
OPTOCIRCUI.EQ-NSE,2019-01-21,9.1,9.5,8.9,9.2,480574.0
OPTOCIRCUI.EQ-NSE,2019-01-22,9.45,9.95,9.15,9.25,1148418.0
OPTOCIRCUI.EQ-NSE,2019-01-23,9.15,9.45,9.15,9.4,239647.0
OPTOCIRCUI.EQ-NSE,2019-01-24,9.45,9.45,9.15,9.15,222570.0
OPTOCIRCUI.EQ-NSE,2019-01-25,9.3,9.3,8.85,9.25,296615.0
OPTOCIRCUI.EQ-NSE,2019-01-28,9.1,9.2,8.35,8.8,541681.0
OPTOCIRCUI.EQ-NSE,2019-01-29,8.8,9.05,8.55,8.7,301733.0
OPTOCIRCUI.EQ-NSE,2019-01-30,8.65,8.8,8.05,8.6,219275.0
