Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ULTRACEMCO.EQ-NSE,2019-01-01,3998.3,4014.3501,3966.25,4009.8999,92847.0
ULTRACEMCO.EQ-NSE,2019-01-02,3990.75,4018.95,3973.95,3996.6499,143685.0
ULTRACEMCO.EQ-NSE,2019-01-03,4015.0,4015.0,3875.95,3885.1001,223009.0
ULTRACEMCO.EQ-NSE,2019-01-04,3912.5,3927.0,3853.0,3913.5,219843.0
ULTRACEMCO.EQ-NSE,2019-01-07,3942.95,3985.3999,3913.8501,3924.3999,219895.0
ULTRACEMCO.EQ-NSE,2019-01-08,3840.0,3943.45,3840.0,3892.3501,270162.0
ULTRACEMCO.EQ-NSE,2019-01-09,3917.0,3934.8999,3800.0,3809.0,248250.0
ULTRACEMCO.EQ-NSE,2019-01-10,3820.0,3847.0,3804.05,3811.1001,138327.0
ULTRACEMCO.EQ-NSE,2019-01-11,3812.0,3851.55,3751.1001,3775.0,248670.0
ULTRACEMCO.EQ-NSE,2019-01-14,3775.0,3796.95,3737.95,3776.3999,198311.0
ULTRACEMCO.EQ-NSE,2019-01-15,3792.0,3845.0,3771.05,3823.6001,298654.0
ULTRACEMCO.EQ-NSE,2019-01-16,3835.45,3908.0,3835.2,3884.2,201500.0
ULTRACEMCO.EQ-NSE,2019-01-17,3892.1499,3914.75,3810.0,3838.0,235631.0
ULTRACEMCO.EQ-NSE,2019-01-18,3851.75,3857.95,3771.6001,3815.05,237821.0
ULTRACEMCO.EQ-NSE,2019-01-21,3815.75,3867.5,3790.0,3853.0,279767.0
ULTRACEMCO.EQ-NSE,2019-01-22,3842.6499,3887.0,3800.8999,3862.0,220315.0
ULTRACEMCO.EQ-NSE,2019-01-23,3864.95,3886.05,3840.75,3850.0,171164.0
ULTRACEMCO.EQ-NSE,2019-01-24,3855.0,3878.55,3770.05,3784.0,808358.0
ULTRACEMCO.EQ-NSE,2019-01-25,3790.05,3790.05,3480.05,3528.0,1592764.0
ULTRACEMCO.EQ-NSE,2019-01-28,3508.0,3508.0,3332.45,3372.1499,1259456.0
ULTRACEMCO.EQ-NSE,2019-01-29,3377.0,3509.8999,3370.0,3420.0,754256.0
ULTRACEMCO.EQ-NSE,2019-01-30,3430.0,3467.3,3365.0,3441.1001,303606.0
ULTRACEMCO.EQ-NSE,2019-01-31,3463.7,3540.0,3432.1001,3520.0,619461.0
ULTRACEMCO.EQ-NSE,2019-02-01,3530.0,3538.55,3446.0,3481.0,744982.0
ULTRACEMCO.EQ-NSE,2019-02-04,3482.25,3496.8999,3402.0,3444.0,320035.0
ULTRACEMCO.EQ-NSE,2019-02-05,3447.5,3472.0,3410.0,3460.5,286164.0
