ticker,Option Open Date,Spot Price,Option Strike,Option Initial Price,Option Final Price,Option Close Date,Options PNL,lot_size,Options SL,Re-entry,Reentry Count,Nifty Spot Price,Nifty Option Strike,Nifty Option Final Price,Nifty Option Initial Price,Nifty Option Close Date,Nifty lot_size,Nifty Options PNL,Option SL
RELIANCE.EQ-NSE,2019-01-28,1230.5,1208.55,8.865956671455129,26.597870014365384,2019-01-30,-10288.976941761824,568.8744412840309,0,False,0,10661.55,10600.0,26.0,42.0,0,65.65649459975333,1095.1503299238857,Intraday SL Hit
RELIANCE.EQ-NSE,2019-02-25,1231.3,1228.35,16.93942559574109,9.01454812404935,2019-02-28,4357.781543202862,568.5048322910745,0,False,0,10880.1,10850.0,47.0,36.5,0,64.33764395547834,-621.8233288296981,No SL Hit
RELIANCE.EQ-NSE,2019-03-25,1328.9,1307.6,8.915487155653203,0.0495304841980733,2019-03-28,4622.93215933451,526.7514485664835,0,False,0,11354.25,11300.0,0.1,30.35,0,61.650923662945594,1883.713147059471,No SL Hit
RELIANCE.EQ-NSE,2019-04-22,1344.0,1327.4,12.778864923102924,0.0495304841980733,2019-04-25,6563.047127516585,520.8333333333334,0,False,0,11594.45,11550.0,0.05,32.05,0,60.3737132852356,1951.3387870921,No SL Hit
RELIANCE.EQ-NSE,2019-05-27,1313.5,1307.6,18.32627915328714,0.0495304841980733,2019-05-30,9642.24849706886,532.9272934906737,0,False,0,11924.75,11900.0,0.05,60.65,0,58.701440281766914,3592.9390553261073,No SL Hit
RELIANCE.EQ-NSE,2019-06-24,1261.85,1248.15,9.90609683961467,0.0495304841980733,2019-06-27,5412.6140646867125,554.7410548004914,0,False,0,11699.65,11650.0,0.05,36.0,0,59.83084964080122,2172.4880658823126,No SL Hit
RELIANCE.EQ-NSE,2019-07-22,1278.1,1268.0,14.165718480648978,42.49715544194694,2019-07-25,-15827.123065774778,547.6879743369063,0,False,0,11346.2,11300.0,40.0,36.5,0,61.694664292891005,-168.73490684105687,Intraday SL Hit
RELIANCE.EQ-NSE,2019-08-26,1265.0,1248.15,13.076047828291363,16.74130365894879,2019-08-29,-2193.2020093840947,553.3596837944664,0,False,0,11057.85,11000.0,50.1,56.3,0,63.30344506391387,459.8362249442701,No SL Hit
RELIANCE.EQ-NSE,2019-09-23,1237.6,1228.35,18.871114479465948,0.0495304841980733,2019-09-26,10538.67508237061,565.6108597285069,0,False,0,11600.2,11550.0,0.05,72.0,0,60.34378717608317,4385.213185979552,No SL Hit
RELIANCE.EQ-NSE,2019-10-29,1471.0,1466.1,17.830974311306406,15.998346395977691,2019-10-31,711.1042119504498,475.8667573079538,0,False,0,11786.85,11750.0,0.05,32.75,0,59.388216529437464,1961.4740155342604,No SL Hit
